Cycle,Total Messages,,Total Cycle Spend,,Total Data Received,,Peers Remaining,,Unsatisfied,,Budget Exhausted,,Orphaned,,PEER_DOWN,,MALFORMED_RECORDS,,DATA_REQUEST,,NO_DATA,,NO_ACCESS,,POLICY_INFORM,,REJECT_POLICIES,,RECORD_INFORM,,DATA_RESULT,,DATA_RESULT (+Data),,Data Received,,Cycle Spend,,Total Profit,,Total Neighbours,,Average Satisfaction,,Average Profit,,Average Data Received,,Average Normalised Profit,,Average Neighbours,
,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total,No Role,Total
1,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,99.0,99.0,200.0,200.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0,-100.0,1000.0,1000.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,10.0,10.0
3,271.0,271.0,300.0,300.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,82.0,82.0,15.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0,-200.0,1000.0,1000.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,10.0,10.0
4,480.0,480.0,400.0,400.0,14.0,14.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,66.0,66.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,100.0,-248.0,-248.0,1000.0,1000.0,0.7083333333333333,0.7083333333333333,-2.48,-2.48,0.14,0.14,1.52,1.52,10.0,10.0
5,704.0,704.0,500.0,500.0,26.0,26.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,103.0,103.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,12.0,12.0,100.0,100.0,-249.0,-249.0,1000.0,1000.0,1.1395833333333334,1.1395833333333334,-2.49,-2.49,0.12,0.12,2.51,2.51,10.0,10.0
6,931.0,931.0,600.0,600.0,53.0,53.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,139.0,63.0,63.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,100.0,100.0,-185.0,-185.0,1000.0,1000.0,2.07637987012987,2.07637987012987,-1.85,-1.85,0.27,0.27,4.15,4.15,10.0,10.0
7,1157.0,1157.0,700.0,700.0,63.0,63.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,98.0,98.0,38.0,38.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,100.0,-266.0,-266.0,1000.0,1000.0,2.469713203463203,2.469713203463203,-2.66,-2.66,0.1,0.1,4.34,4.34,10.0,10.0
8,1376.0,1376.0,800.0,800.0,85.0,85.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,62.0,62.0,22.0,22.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,22.0,100.0,100.0,-250.0,-250.0,1001.0,1001.0,4.093896209999151,4.093896209999151,-2.5,-2.5,0.22,0.22,5.5,5.5,10.01,10.01
9,1591.0,1591.0,900.0,900.0,85.0,85.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,85.0,85.0,44.0,44.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,100.0,100.0,-350.0,-350.0,1001.0,1001.0,4.093896209999151,4.093896209999151,-3.5,-3.5,0.0,0.0,5.5,5.5,10.01,10.01
